N,P,K,temperature,humidity,ph,rainfall,crop
17.0,136.0,196.0,23.87192332,90.49939035,5.882155987999999,103.0548094,apple
49.0,69.0,82.0,18.31561493,15.36143547,7.26311855,81.78710463,chickpea
74.0,49.0,38.0,23.31410442,71.4509053,7.4880144039999985,164.49703730000004,jute
104.0,35.0,28.0,27.51006055,50.66687215,6.983732393,143.9955548,coffee
23.0,72.0,84.0,19.02061277,17.13159126,6.920251378,79.92698081,chickpea
83.0,10.0,53.0,24.92994759,85.00802358,6.195142279,48.75859458,watermelon
89.0,53.0,44.0,24.88692811,71.91711523,7.319735475,150.2498675,jute
27.0,30.0,31.0,28.98545306,90.73966792,5.718120393,148.8398374,coconut
23.0,138.0,200.0,9.851242629,80.22631717,5.96537863,68.42802444,grapes
29.8839926131726,33.33700554012055,27.767985226345207,33.31648225357181,53.47231429758975,6.085511115812496,89.39991648111703,mango
112.0,28.0,54.0,24.86094646,85.05318563,6.738030547,55.29563514,watermelon
16.060229051009223,48.79517178825692,22.795171788256923,27.50124101109186,46.814027570065726,3.636586955176643,43.96555207958682,mothbeans
33.0,23.0,45.0,20.00218987,85.83618191,7.116538883,112.337046,pomegranate
75.58727490888315,52.34909963553262,45.0,24.5967473748071,79.84545932304249,6.145336366974982,185.89760074659253,jute
57.0,56.0,78.0,17.34150229,18.75626255,8.861479668,67.9545435,chickpea
120.0,7.0,47.0,24.24782473,83.03687902,6.653867608,54.76576239999999,watermelon
36.95031808397334,125.92547712596,203.68322730534226,34.63940824678473,82.8713446911231,5.757015415193554,70.58085145900957,grapes
11.227372404743829,57.295437932542704,24.704562067457303,28.177529731834603,86.35005484885092,6.910549794845312,49.48522736318,mungbean
40.0,16.0,35.0,34.16438906,54.16482251,4.954739564,98.33351125,mango
118.0,88.0,52.0,28.65003945,82.68752542,5.8431631610000005,98.75084366,banana
24.0,45.0,19.0,26.85851927,48.8246387,5.9523849570000005,34.7426459,mothbeans
1.0,12.0,30.0,27.754298,95.94643831,5.56222383,131.09000759999998,coconut
57.0,67.0,25.0,32.34744009,66.61452812,7.551364319,64.55882254,blackgram
19.0,7.0,10.0,14.78003032,91.22062116,6.118430299,100.1961762,orange
16.0,8.0,9.0,24.60297538,91.28408653,7.601189842999999,111.2948115,orange
85.83639358830519,26.283091210024125,45.35845439498794,26.04097239398588,87.9297726992417,6.45638179923796,57.44202964869074,watermelon
24.0,140.0,205.0,12.087022,83.59398734,5.93202852,68.66813363,grapes
34.0,59.0,23.0,28.56212158,83.24855855,6.935804256,56.48265193,mungbean
39.0,28.0,10.0,31.34920143,91.48247612,7.181907673,109.1549823,orange
89.38689265111856,47.386892651118565,40.708248557829926,24.95985254104797,71.88673279490844,6.198544000964022,152.5648424101833,jute
30.0,28.0,30.0,31.86641378,52.19331595,5.064613314,98.46768642,mango
90.0,86.0,52.0,25.85036988,81.95580471,5.793260262,119.08561709999998,banana
19.0,39.0,17.0,29.2808618,81.8009244,6.890156495,44.47427436,mungbean
30.0,120.0,200.0,38.06099482,82.24729637,6.234904253,65.70148216,grapes
94.0,53.0,40.0,20.27774362,82.89408619,5.718627177999999,241.9741949,rice
92.0,85.0,51.0,29.22118628,81.08183635,5.740764682000001,108.8616474,banana
117.0,27.0,48.0,26.53259325,82.39053979,6.8352681839999985,54.30660782,watermelon
20.18850700748843,134.81149299251155,202.1622985985023,11.876158117270801,80.17380667887444,6.401110996749186,65.38735799477936,grapes
82.0,40.0,45.0,26.21312799,81.70476368,6.667633355,180.1237765,jute
8.0,54.0,20.0,28.3340432,80.77275974,7.034214276,38.7976407,mungbean
34.0,73.0,15.0,20.97195263,63.83179889,7.630424082999999,53.10207889,lentil
93.00899806081472,21.807198448651786,48.403599224325895,25.89827533500437,81.81280294053397,6.320194238980018,53.67047776381665,watermelon
28.0,123.0,198.0,23.46260321,91.45665004,5.682751473,111.7763395,apple
61.00673370553841,44.02693482215364,17.02020111661523,26.070566893254448,71.50002480635443,6.930252856667286,102.22212283872709,maize
20.0,142.0,196.0,10.89875873,80.01639435,6.207600782999999,68.69420397,grapes
23.0182960096001,6.00914800480005,33.0182960096001,29.17305033253618,92.78949026022259,6.02150761527037,204.8205017249565,coconut
84.0,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,rice
23.0,6.0,33.0,29.18032562,92.73041222,6.025789594,204.9603677,coconut
86.28959274698185,39.193061831321224,42.51734542169694,25.85450153086211,71.5695848203877,6.423624405053777,193.75094682315589,jute
76.0,48.0,18.0,19.29563411,69.63481219,5.77597783,83.21030571,maize
20.32459719700463,60.324597197004636,21.026208408986122,30.461212808362173,44.75260893003561,6.544243987634454,185.94530708284603,pigeonpeas
120.0,23.0,28.0,25.67324193,51.29043632,6.877799264,196.2736367,coffee
57.0,73.0,85.0,18.49311205,14.72115044,7.358099622,91.94595352,chickpea
17.0,57.0,21.0,19.88394011,20.31564139,5.7892142889999985,60.91974792,kidneybeans
49.0,61.0,45.0,32.76795887,94.57377401,6.764213299,240.4795923,papaya
67.0,60.0,38.0,24.79853023,78.53037059,7.16214284,162.2847429,jute
55.0,67.0,16.0,34.37329112,69.69366426,6.596719015,70.27184748,blackgram
49.85143521651065,55.85143521651065,76.2971295669787,20.647495748826245,19.313054888617827,7.95122985439997,74.72562382529698,chickpea
7.0,60.0,25.0,28.2753171,82.76020821,6.397636709,56.04995423,mungbean
84.0,21.0,55.0,28.47090661,94.79453182,6.494251024,21.08484101,muskmelon
90.0,14.0,52.0,24.84740848,89.20454622,6.391858432,59.67927244,watermelon
35.0,64.0,15.0,28.47442276,63.53604453,6.500144962,69.5274407,blackgram
26.0,15.0,6.0,17.22034507,94.78797376,6.912033409,108.0054343,orange
27.0,74.0,20.0,24.69487673,59.96669215,5.8598134160000015,91.95792434,pigeonpeas
70.44569435046805,46.702870433021296,17.594259133957397,24.611784249747938,70.88755735384309,6.606171814255157,103.03788098663969,maize
58.0,55.0,47.0,26.05375792,93.69111672,6.7424900270000006,240.6863901,papaya
27.0,62.0,77.0,18.19737048,14.71070537,6.576415562,70.18185181,chickpea
117.97306517784635,11.973065177846362,47.03366852769205,27.97796202851756,92.19045334469246,6.013489309530637,28.942830726907058,muskmelon
27.162643156880765,21.632528631376157,42.632528631376154,20.089127026011735,87.6857435099131,6.089967919448496,107.28928850340799,pomegranate
70.53134607857055,46.64576928095297,17.70846143809407,24.61156756172506,70.97813236097832,6.607198955659982,102.8217342347159,maize
118.0,12.0,47.0,27.96872279,92.17444796,6.010739645,28.94766949,muskmelon
27.0,8.0,32.0,27.00648436,96.46168931,5.627860548999998,144.3331315,coconut
36.0,24.0,41.0,24.94467632,94.25702672,7.009180374,103.8799347,pomegranate
67.0,59.0,41.0,21.94766735,80.97384195,6.012632591,213.3560921,rice
7.0,20.0,12.0,16.53460397,94.76759975,6.475275337,110.0447896,orange
121.74126682857019,57.44760097142103,18.258733171429828,23.503459453079305,81.8473860673634,6.67417204124974,79.89075672008904,cotton
99.0,29.0,55.0,29.19378695,91.46241065,6.660954816,26.48240255,muskmelon
120.0,24.0,47.0,26.98603693,89.4138489,6.260838965,58.54876687,watermelon
58.0,46.0,45.0,42.39413392,90.79028064,6.576261427,88.46607497,papaya
40.0,9.0,41.0,24.37766782,85.4017118,5.78270695,106.128338,pomegranate
76.0,44.0,17.0,20.41683147,62.55424820000001,5.855442401,65.27798457,maize
40.0,65.0,49.0,35.32876402,91.06138506,6.678449317999999,163.9069365,papaya
8.0,136.0,201.0,41.65602996,82.22118237,5.6092559920000005,74.19664838,grapes
96.0,86.0,51.0,29.90888522,76.98740841,6.257369799,91.99964712,banana
21.0,17.0,15.0,23.98289638,91.5473145,7.455991072000001,118.4901697,orange
7.0,63.0,24.0,19.55750776,64.45268309,6.818681086000002,53.04669416,lentil
34.0,60.0,22.22601200060424,18.2184336752964,19.69367699147148,5.640661310170952,100.53071917933089,kidneybeans
36.7781648329873,24.331011002076224,12.221835167012706,29.12097793575336,90.596923618083,6.7134251978291015,112.37034309698241,orange
67.0,43.0,39.0,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
112.59713523423376,75.3285587237229,54.43285587237229,27.69861534735022,82.85357021471368,5.807716745963093,94.70163649413344,banana
